id;cidade;area;quartos;banheiro;vagas;andar;animal;mobiliado;condominio;aluguel;taxas;seguro;total;alugado;relacao
1;1;22;1;1;0;0;1;0;30;450;13;6;499;1;126
2;4;30;1;1;1;3;1;0;0;500;0;7;507;1;140
3;4;30;1;1;1;3;1;0;0;500;0;7;507;1;140
4;5;35;1;1;0;0;0;0;0;500;0;8;508;1;140
5;3;30;1;1;0;0;0;0;0;500;0;9;509;1;140
6;1;25;1;1;1;1;0;0;0;500;38;7;545;1;140
7;1;20;1;1;0;1;0;0;0;500;42;7;549;1;140
8;3;60;2;1;1;0;1;0;0;540;0;10;550;1;151
9;3;60;2;1;1;0;1;0;0;540;0;10;550;1;151
10;1;30;1;1;0;2;1;0;0;525;25;7;557;1;147
11;1;30;1;1;0;2;0;0;0;550;0;8;558;1;154
12;3;24;1;1;1;0;0;0;0;550;0;9;559;1;154
13;3;25;1;1;0;0;0;0;0;550;0;9;559;1;154
14;1;24;1;1;1;0;0;0;0;550;0;10;560;1;154
15;5;20;1;1;0;0;1;0;0;550;30;9;589;1;154
16;4;25;1;1;0;4;1;0;50;550;0;8;608;1;154
17;4;20;1;1;0;2;1;0;0;600;0;8;608;1;168
18;4;25;1;1;0;4;1;0;50;550;0;8;608;1;154
19;5;25;1;1;0;0;0;0;0;600;0;10;610;1;168
20;3;28;2;1;1;0;1;0;0;600;0;11;611;1;168
21;5;40;1;1;0;0;1;0;0;600;30;10;640;1;168
22;1;25;1;1;1;1;0;0;0;550;84;8;642;1;154
23;5;40;1;1;0;0;0;0;0;600;34;10;644;1;168
24;1;25;1;1;0;2;0;0;0;650;0;9;659;1;182
25;1;30;1;1;0;1;0;0;0;650;0;9;659;1;182
26;5;40;1;1;0;0;0;0;0;650;0;10;660;1;182
27;4;25;1;1;0;0;0;0;0;660;0;11;671;1;185
28;5;40;1;1;0;0;1;0;0;650;17;10;677;1;182
29;1;50;2;1;0;0;0;0;0;644;25;9;678;1;180
30;5;30;1;1;0;0;0;0;0;650;25;10;685;1;182
31;4;30;1;1;0;0;0;0;0;680;0;9;689;1;190
32;1;30;1;1;0;1;1;0;100;550;35;8;693;1;154
33;5;30;1;1;0;0;0;0;0;650;38;9;697;1;182
34;5;50;1;1;0;0;0;0;0;690;0;11;701;1;193
35;5;50;1;1;0;0;1;0;0;690;0;11;701;1;193
36;3;60;2;1;0;0;1;0;0;650;42;12;704;1;182
37;1;16;1;1;0;1;0;0;0;650;50;9;709;1;182
38;4;20;1;1;0;0;1;0;0;700;0;10;710;1;196
39;4;15;1;1;0;0;1;0;0;700;0;10;710;1;196
40;4;15;1;1;0;0;1;0;0;700;0;10;710;1;196
41;1;22;1;1;0;1;0;1;0;700;0;10;710;1;196
42;1;73;1;1;0;4;1;0;0;700;0;10;710;1;196
43;1;35;1;1;1;1;0;0;0;700;0;10;710;1;196
44;1;30;1;1;0;0;0;0;0;700;0;10;710;1;196
45;4;15;1;1;0;0;1;0;0;700;0;10;710;1;196
46;4;15;1;1;0;0;1;0;0;700;0;10;710;1;196
47;4;15;1;1;0;0;1;0;0;700;0;10;710;1;196
48;2;42;1;1;0;1;1;0;0;690;12;9;711;1;193
49;1;30;1;1;1;0;0;0;0;705;0;10;715;1;197
50;1;15;1;1;0;0;1;0;45;665;0;9;719;1;186
51;1;40;1;1;0;0;0;0;0;650;59;11;720;1;182
52;3;28;1;1;0;4;1;0;200;500;25;8;733;0;140
53;2;45;1;1;0;0;0;0;0;700;25;11;736;1;196
54;3;50;1;1;0;1;1;0;0;650;80;10;740;1;182
55;1;24;1;1;0;1;0;0;50;680;0;10;740;1;190
56;3;55;3;1;0;0;0;0;0;720;8;13;741;1;202
57;5;50;1;1;0;0;1;0;0;700;45;11;756;1;196
58;4;25;1;1;0;0;1;0;50;700;0;10;760;1;196
59;4;25;1;1;0;1;1;0;50;700;0;10;760;1;196
60;4;35;1;1;0;0;1;0;0;750;0;10;760;1;210
61;4;25;1;1;0;0;1;0;50;700;0;10;760;1;196
62;4;25;1;1;0;1;1;0;50;700;0;10;760;1;196
63;4;20;1;1;0;0;0;0;0;750;0;10;760;1;210
64;4;25;1;1;0;1;1;0;50;700;0;10;760;1;196
65;4;25;1;1;0;0;1;0;50;700;0;10;760;1;196
66;4;15;1;1;0;0;1;0;50;700;0;10;760;1;196
67;4;25;1;1;0;0;1;0;50;700;0;10;760;1;196
68;4;15;1;1;0;0;1;0;50;700;0;10;760;1;196
69;4;15;1;1;0;0;1;0;50;700;0;10;760;1;196
70;3;50;2;1;0;0;0;0;0;750;0;11;761;1;210
71;5;50;1;1;0;0;0;0;0;750;0;12;762;1;210
72;5;50;1;1;0;0;0;0;0;750;0;12;762;1;210
73;5;50;1;1;0;0;0;0;0;750;0;12;762;1;210
74;5;40;1;1;0;0;0;0;0;750;0;12;762;1;210
75;5;50;1;1;0;0;0;0;0;750;0;12;762;1;210
76;5;50;1;1;0;0;0;0;0;750;0;12;762;1;210
77;5;40;1;1;0;0;0;0;0;750;0;12;762;1;210
78;5;22;1;1;0;0;0;0;50;700;5;9;764;1;196
79;3;40;1;1;0;0;0;0;0;750;0;14;764;1;210
80;5;22;1;1;0;0;0;0;50;700;5;9;764;1;196
81;5;30;1;1;0;0;0;0;0;700;59;11;770;1;196
82;5;40;1;1;0;0;0;0;0;700;59;11;770;1;196
83;5;50;1;1;0;0;1;0;0;700;67;11;778;1;196
84;3;45;1;1;0;1;1;0;50;640;84;10;784;1;179
85;5;50;1;1;0;0;0;0;0;750;25;12;787;1;210
86;1;50;1;1;0;1;1;0;0;750;30;10;790;1;210
87;3;36;1;1;1;0;1;0;0;762;15;14;791;1;213
88;3;30;1;1;1;0;1;0;0;762;15;14;791;1;213
89;5;35;1;1;0;0;1;0;0;700;80;11;791;1;196
